timestamp,sim_time,image,steering,speed,command
20260624_161414_197905,138.848,20260624_161414_197905.png,0.04931,50,2
20260624_161414_309128,138.960,20260624_161414_309128.png,0.04343,50,2
20260624_161414_423515,139.072,20260624_161414_423515.png,0.04155,50,2
20260624_161414_533917,139.184,20260624_161414_533917.png,0.05366,50,2
20260624_161414_647847,139.296,20260624_161414_647847.png,0.04171,50,2
20260624_161414_761180,139.408,20260624_161414_761180.png,0.04027,50,2
20260624_161414_871204,139.520,20260624_161414_871204.png,0.05777,50,2
20260624_161414_983543,139.632,20260624_161414_983543.png,0.05487,50,2
20260624_161415_158784,139.808,20260624_161415_158784.png,0.04211,50,2
20260624_161415_317317,139.968,20260624_161415_317317.png,0.04032,50,2
20260624_161415_462679,140.112,20260624_161415_462679.png,0.04093,50,2
20260624_161415_623852,140.272,20260624_161415_623852.png,0.05263,50,2
20260624_161415_815483,140.464,20260624_161415_815483.png,0.04150,50,2
20260624_161415_974610,140.624,20260624_161415_974610.png,0.04332,50,2
20260624_161416_118905,140.768,20260624_161416_118905.png,0.05307,50,2
20260624_161416_297445,140.944,20260624_161416_297445.png,0.04388,50,2
20260624_161416_470877,141.120,20260624_161416_470877.png,0.04275,50,2
20260624_161416_616960,141.264,20260624_161416_616960.png,0.04177,50,2
20260624_161416_776225,141.424,20260624_161416_776225.png,0.05180,50,2
20260624_161416_967199,141.616,20260624_161416_967199.png,0.04213,50,2
20260624_161417_125860,141.776,20260624_161417_125860.png,0.04286,50,2
20260624_161417_270258,141.920,20260624_161417_270258.png,0.05367,50,2
20260624_161417_429635,142.080,20260624_161417_429635.png,0.05242,50,2
20260624_161417_622639,142.272,20260624_161417_622639.png,0.04113,50,2
20260624_161417_784556,142.432,20260624_161417_784556.png,0.04504,50,2
20260624_161417_926734,142.576,20260624_161417_926734.png,0.05292,50,2
20260624_161418_118940,142.768,20260624_161418_118940.png,0.04232,50,2
20260624_161418_295039,142.944,20260624_161418_295039.png,0.04269,50,2
20260624_161418_422706,143.072,20260624_161418_422706.png,0.04594,50,2
20260624_161418_534085,143.184,20260624_161418_534085.png,0.04003,50,2
